Quote,Movie,5
A boy's best friend is his mother.,Psycho (1960),34
A dream is a wish your heart makes.,Cinderella (1950),35
"A martini. Shaken, not stirred. ","Goldfinger, 1964.",32
A million dollars isn't cool. You know what's cool? A billion dollars. ,The Social Network (2010),71
A spoonful of sugar helps the medicine go down.,Mary Poppins (1964),47
Adventure is out there!,Up (2009),23
"After all, tomorrow is another day! ",Gone With the Wind (1939),36
"Ain't no thing like me, 'cept me.",Guardians of the Galaxy (2014),33
All it takes is faith and trust... and a little bit of pixie dust.,Peter Pan (1953),66
"All right, Mr. DeMille, I'm ready for my close-up.",Sunset Boulevard (1950),50
"All those moments will be lost in time, like tears in rain.",Blade Runner (1982),59
Are you not entertained?,Gladiator (2000),24
"As God is my witness, I'll never be hungry again. ",Gone With the Wind (1939),50
Bond. James Bond.,Dr. No (1962),17
"Carpe diem. Seize the day, boys. Make your lives extraordinary.",Dead Poets Society (1989),63
"Chewie, we're home. ",Star Wars: Episode VII (2015),20
Do or do not. There is no try.,Star Wars: Episode V - The Empire Strikes Back (1980),30
"Elementary, my dear Watson. ",The Adventures of Sherlock Holmes (1929),28
ET phone home.,E.T. the Extra-Terrestrial (1982),14
Even miracles take a little time.,Cinderella (1950),33
Even the smallest person can change the course of the future. ,The Lord of the Rings: The Fellowship of the Ring (2001),62
Exercise gives you endorphins. Endorphins make you happy. Happy people just don't shoot their Husbands. They just don't,Legally Blonde (2001),119
Fasten your seatbelts. It's going to be a bumpy night.,All About Eve (1950),54
First rule of leadership: Everything is your fault. ,A Bug's Life (1998),52
"Frankly, my dear, I don't give a damn.",Gone With the Wind (1939),38
"Gentlemen, you can't fight in here! This is the War Room! ",Dr. Strangelove (1964),58
"Get busy livin', or get busy dyin'.",The Shawshank Redemption (1994),35
"Go ahead, make my day.",Sudden Impact (1983),22
"Greed, for lack of a better word, is good.",Wall Street (1987),42
Hakuna Matata. It means no worries.,The Lion King (1994),35
"Hasta la vista, baby.",Terminator 2: Judgment Day (1991),21
Hello. My name is Inigo Montoya. You killed my father. Prepare to die.,The Princess Bride (1987),70
"Here kitty, kitty, kitty.",Meet the Parents (2000),25
"Here, take a good look at my face. You'll see it again.","The Good, the Bad and the Ugly (1966)",55
Here's Johnny!,The Shining (1980),14
"Here's looking at you, kid.",Casablanca (1942),27
Here's to hoping we all find our version of happiness.,Silver Linings Playbook (2012),54
"Hope is a good thing, maybe the best of things, and no good thing ever dies.",The Shawshank Redemption (1994),76
"Houston, we have a problem.",Apollo 13 (1995),27
I ain't got time to bleed. ,Predator (1987),27
I am a golden god!,Almost Famous (2000),18
I am Groot.,Guardians of the Galaxy (2014),11
I am Iron Man.,Iron Man 2 (2010),14
I am not afraid. I was born to do this.,Joan of Arc (2019),39
I am not your toy. You are mine.,Maleficent (2014),32
I am serious. And don't call me Shirley.,Airplane! (1980),40
I am the one who knocks.,Breaking Bad (2008-2013),24
I am your father.,Star Wars: Episode V - The Empire Strikes Back (1980),17
"I am your future, Stupid.",Looper (2012),25
I coulda been a contender.,On the Waterfront (1954),26
"I don't know how to put this, but I'm kind of a big deal.",Anchorman: The Legend of Ron Burgundy (2004),57
I don't think there's anything wrong with being a nerd.,Real Genius (1985),55
I don't want to survive. I want to live.,12 Monkeys (1995),40
I drink your milkshake!,There Will Be Blood (2007),23
I feel the need — the need for speed! ,Top Gun  (1986),38
I have a competition in me. I want no one else to succeed.,There Will Be Blood (2007),58
I have a dream.,The Help (2011),15
